S 0 733225
R 0 733448
S 1 733725
R 1 733842
S 2 734225
R 2 734428
S 3 734725
R 3 734868
S 4 735225
R 4 735353
S 5 735725
R 5 735794
R 6 736216
S 6 736225
R 7 736713
S 7 736726
R 8 737181
S 8 737226
R 9 737694
S 9 737726
S 10 738226
R 10 738228
R 11 738672
S 11 738726
R 12 739161
S 12 739226
R 13 739656
S 13 739726
S 14 740226
S 15 740726
R 14 741071
S 16 741226
R 15 741501
S 17 741676
R 16 741976
S 18 742126
R 17 742410
S 19 742576
R 18 742849
S 20 743026
R 19 743380
S 21 743476
R 20 743794
S 22 743926
S 23 744376
R 21 744758
S 24 744826
R 22 745166
S 25 745276
R 23 745651
S 26 745726
S 27 746176
R 24 746532
S 28 746626
S 29 747076
S 30 747526
S 31 747976
R 25 748304
S 32 748426
R 26 748764
S 33 748876
S 34 749326
