S 0 732035
S 1 732535
R 0 732984
S 2 733035
R 1 733451
S 3 733535
R 2 733939
S 4 734035
R 3 734440
S 5 734535
R 4 734884
S 6 735035
R 5 735474
S 7 735535
R 6 735971
S 8 736035
R 7 736471
S 9 736535
R 8 736984
S 10 737035
R 9 737478
S 11 737536
S 12 738036
R 10 738076
R 11 738500
S 13 738536
R 12 739009
S 14 739036
R 13 739480
S 15 739536
R 14 739979
S 16 740036
R 15 740471
S 17 740536
R 16 741009
S 18 741036
R 17 741488
S 19 741536
R 18 741981
S 20 742036
R 19 742480
S 21 742536
R 20 742965
S 22 743036
R 21 743429
S 23 743536
R 22 743920
S 24 744036
R 23 744422
S 25 744536
R 24 744910
S 26 745036
R 25 745437
S 27 745536
R 26 745873
S 28 746036
R 27 746338
S 29 746536
R 28 746898
S 30 747036
R 29 747311
S 31 747536
R 30 747782
S 32 748036
R 31 748239
S 33 748536
R 32 748850
S 34 749036
