S 0 288946
R 0 289345
S 1 289446
R 1 289892
S 2 289946
R 2 290420
S 3 290446
S 4 290946
R 3 290963
R 4 291445
S 5 291446
S 6 291946
R 5 291955
S 7 292446
R 6 292465
S 8 292946
R 7 292956
R 8 293441
S 9 293446
S 10 293946
R 9 293946
S 11 294446
R 10 294449
S 12 294946
R 11 294966
R 12 295437
S 13 295446
R 13 295934
S 14 295946
R 14 296412
S 15 296446
R 15 296911
S 16 296946
R 16 297393
S 17 297446
R 17 297917
S 18 297996
R 18 298496
S 19 298546
R 19 299060
S 20 299096
S 21 299646
R 20 299648
S 22 300196
R 21 300237
S 23 300746
R 22 300753
R 23 301287
S 24 301296
R 24 301833
S 25 301846
R 25 302390
S 26 302396
R 26 302920
S 27 302946
R 27 303462
S 28 303496
R 28 304015
S 29 304046
R 29 304565
S 30 304596
R 30 305082
S 31 305146
R 31 305655
S 32 305696
R 32 306229
S 33 306246
R 33 306746
S 34 306796
