,Trial,Block,Subject,Original_trial,Condition,Perturb_type,Perturb_size,Perturb_bip,Valid_trial,Message,Error
121,6,1,1,6,2,0,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T0;X,NoError
122,7,1,1,7,0,0,-50,17,1,;SB;FB;NB;A125;I500;n35;P-50;B17;T0;X,NoError
123,8,1,1,8,1,0,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T0;X,NoError
124,9,1,1,9,4,0,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NoError
125,10,1,1,10,0,0,-50,18,0,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,SkipStim
126,11,1,1,11,2,0,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T0;X,NoError
127,12,1,1,12,2,0,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T0;X,NoError
128,13,1,1,13,2,0,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T0;X,NoError
129,14,1,1,14,1,0,-20,17,1,;SB;FB;NB;A125;I500;n35;P-20;B17;T0;X,NoError
130,15,1,1,15,3,0,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NoError
131,16,1,1,16,2,0,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T0;X,NoError
132,17,1,1,17,0,0,-50,19,1,;SB;FB;NB;A125;I500;n35;P-50;B19;T0;X,NoError
133,18,1,1,18,0,0,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NoError
134,19,1,1,19,0,0,-50,20,1,;SB;FB;NB;A125;I500;n35;P-50;B20;T0;X,NoError
135,20,1,1,0,2,0,0,20,1,;SB;FB;NB;A125;I500;n35;P0;B20;T0;X,NoError
136,21,1,1,5,2,0,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T0;X,NoError
137,22,1,1,10,0,0,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NoError
138,0,2,1,0,3,0,20,19,1,;SB;FB;NB;A125;I500;n35;P20;B19;T0;X,NoError
139,1,2,1,1,0,0,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NoError
140,2,2,1,2,0,0,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T0;X,NoError
141,3,2,1,3,1,0,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T0;X,NoError
142,4,2,1,4,3,0,20,18,1,;SB;FB;NB;A125;I500;n35;P20;B18;T0;X,NoError
143,5,2,1,5,4,0,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T0;X,NoError
144,6,2,1,6,4,0,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,NoError
145,7,2,1,7,4,0,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NoError
146,8,2,1,8,3,0,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NoError
147,9,2,1,9,1,0,-20,21,1,;SB;FB;NB;A125;I500;n35;P-20;B21;T0;X,NoError
148,10,2,1,10,4,0,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NoError
149,11,2,1,11,4,0,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T0;X,NoError
150,12,2,1,12,2,0,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T0;X,NoError
151,13,2,1,13,4,0,50,20,1,;SB;FB;NB;A125;I500;n35;P50;B20;T0;X,NoError
152,14,2,1,14,3,0,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T0;X,NoError
153,15,2,1,15,4,0,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T0;X,NoError
154,16,2,1,16,2,0,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T0;X,NoError
155,17,2,1,17,3,0,20,19,1,;SB;FB;NB;A125;I500;n35;P20;B19;T0;X,NoError
156,18,2,1,18,1,0,-20,20,1,;SB;FB;NB;A125;I500;n35;P-20;B20;T0;X,NoError
157,19,2,1,19,4,0,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,NoError
158,0,0,2,0,1,0,-20,20,1,;SB;FB;NB;A125;I500;n35;P-20;B20;T0;X,NoError
159,1,0,2,1,4,0,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T0;X,NoError
160,2,0,2,2,1,0,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T0;X,NoError
161,3,0,2,3,0,0,-50,17,1,;SB;FB;NB;A125;I500;n35;P-50;B17;T0;X,NoError
162,4,0,2,4,0,0,-50,17,1,;SB;FB;NB;A125;I500;n35;P-50;B17;T0;X,NoError
