S 0 2346147
R 0 2346620
S 1 2346647
R 1 2347107
S 2 2347147
R 2 2347613
S 3 2347648
R 3 2348143
S 4 2348148
S 5 2348648
R 4 2348648
R 5 2349137
S 6 2349148
R 6 2349633
S 7 2349648
R 7 2350121
S 8 2350148
R 8 2350627
S 9 2350648
R 9 2351139
S 10 2351148
R 10 2351606
S 11 2351648
R 11 2352102
S 12 2352148
R 12 2352610
S 13 2352648
R 13 2353126
S 14 2353148
R 14 2353632
S 15 2353648
R 15 2354125
S 16 2354148
R 16 2354603
S 17 2354648
R 17 2355133
S 18 2355148
S 19 2355628
R 18 2355630
S 20 2356108
R 19 2356120
S 21 2356588
R 20 2356606
S 22 2357068
R 21 2357086
R 22 2357496
S 23 2357548
R 23 2358019
S 24 2358028
S 25 2358508
R 24 2358514
S 26 2358988
R 25 2359010
S 27 2359468
R 26 2359478
R 27 2359940
S 28 2359948
S 29 2360428
R 28 2360456
S 30 2360908
R 29 2360919
S 31 2361388
R 30 2361406
R 31 2361861
S 32 2361868
R 32 2362344
S 33 2362348
R 33 2362815
S 34 2362828
