S 0 1484907
S 1 1485407
R 0 1485444
S 2 1485907
R 1 1485916
S 3 1486407
R 2 1486419
R 3 1486857
S 4 1486907
R 4 1487381
S 5 1487407
R 5 1487857
S 6 1487907
R 6 1488363
S 7 1488407
R 7 1488889
S 8 1488907
R 8 1489380
S 9 1489408
R 9 1489858
S 10 1489908
R 10 1490354
S 11 1490408
R 11 1490849
S 12 1490908
R 12 1491358
S 13 1491408
R 13 1491861
S 14 1491908
R 14 1492358
S 15 1492408
R 15 1492846
S 16 1492908
R 16 1493347
S 17 1493408
R 17 1493855
S 18 1493908
R 18 1494381
S 19 1494408
R 19 1494865
S 20 1494908
R 20 1495378
S 21 1495408
R 21 1495890
S 22 1495908
R 22 1496367
S 23 1496408
R 23 1496827
S 24 1496908
R 24 1497376
S 25 1497408
R 25 1497885
S 26 1497908
R 26 1498379
S 27 1498408
R 27 1498871
S 28 1498908
R 28 1499361
S 29 1499408
R 29 1499851
S 30 1499908
R 30 1500359
S 31 1500408
R 31 1500865
S 32 1500908
R 32 1501406
S 33 1501408
R 33 1501903
S 34 1501908
