S 0 464968
R 0 465187
S 1 465468
R 1 465563
S 2 465968
R 2 465973
S 3 466468
R 3 466468
R 4 466947
S 4 466968
R 5 467410
S 5 467468
R 6 467897
S 6 467968
R 7 468396
S 7 468468
R 8 468904
S 8 468968
R 9 469417
S 9 469468
R 10 469918
S 10 469968
R 11 470425
S 11 470468
R 12 470938
S 12 470968
R 13 471457
S 13 471468
R 14 471947
S 14 471968
R 15 472441
S 15 472468
R 16 472921
S 16 472968
R 17 473402
S 17 473418
R 18 473884
S 18 473918
R 19 474416
S 19 474418
R 20 474915
S 20 474918
R 21 475386
S 21 475418
R 22 475847
S 22 475918
R 23 476342
S 23 476418
R 24 476850
S 24 476918
R 25 477347
S 25 477418
R 26 477832
S 26 477918
R 27 478345
S 27 478418
S 28 478918
R 28 479360
S 29 479418
R 29 479897
S 30 479918
R 30 480371
S 31 480418
R 31 480843
S 32 480918
R 32 481376
S 33 481418
R 33 481868
S 34 481918
