S 0 1198109
S 1 1198609
R 0 1198627
S 2 1199109
R 1 1199119
S 3 1199609
R 2 1199636
R 3 1200102
S 4 1200109
R 4 1200592
S 5 1200609
S 6 1201110
R 5 1201125
R 6 1201593
S 7 1201610
R 7 1202084
S 8 1202110
R 8 1202573
S 9 1202610
R 9 1203092
S 10 1203110
S 11 1203610
R 10 1203661
R 11 1204096
S 12 1204110
R 12 1204606
S 13 1204610
S 14 1205110
R 13 1205112
S 15 1205610
R 14 1205619
R 15 1206103
S 16 1206110
S 17 1206560
R 16 1206596
R 17 1207028
S 18 1207060
R 18 1207519
S 19 1207560
R 19 1208030
S 20 1208060
R 20 1208545
S 21 1208560
R 21 1209050
S 22 1209060
R 22 1209529
S 23 1209560
R 23 1210009
S 24 1210060
R 24 1210529
S 25 1210560
R 25 1211041
S 26 1211060
R 26 1211548
S 27 1211560
S 28 1212060
R 27 1212076
R 28 1212551
S 29 1212560
R 29 1213032
S 30 1213060
R 30 1213524
S 31 1213560
R 31 1214021
S 32 1214060
S 33 1214560
R 32 1214561
S 34 1215060
R 33 1215077
