S 0 840376
R 0 840531
S 1 840876
R 1 840896
R 2 841342
S 2 841376
R 3 841824
S 3 841876
R 4 842321
S 4 842376
R 5 842818
S 5 842876
R 6 843350
S 6 843376
R 7 843862
S 7 843876
R 8 844338
S 8 844376
R 9 844826
S 9 844876
R 10 845369
S 10 845376
R 11 845870
S 11 845876
R 12 846368
S 12 846376
S 13 846876
R 13 846924
R 14 847344
S 14 847376
R 15 847831
S 15 847876
R 16 848304
S 16 848376
R 17 848865
S 17 848876
R 18 849367
S 18 849426
R 19 849866
S 19 849926
R 20 850388
S 20 850426
S 21 850926
R 21 850929
R 22 851414
S 22 851426
R 23 851908
S 23 851926
R 24 852384
S 24 852426
R 25 852874
S 25 852926
R 26 853397
S 26 853426
R 27 853897
S 27 853926
R 28 854406
S 28 854426
R 29 854919
S 29 854926
R 30 855410
S 30 855426
R 31 855917
S 31 855926
R 32 856403
S 32 856426
R 33 856896
S 33 856926
R 34 857415
S 34 857426
