S 0 1659360
R 0 1659557
S 1 1659860
R 1 1660006
S 2 1660360
R 2 1660387
R 3 1660823
S 3 1660860
R 4 1661299
S 4 1661360
R 5 1661790
S 5 1661860
R 6 1662295
S 6 1662360
R 7 1662801
S 7 1662860
R 8 1663316
S 8 1663360
R 9 1663814
S 9 1663860
R 10 1664317
S 10 1664360
R 11 1664793
S 11 1664860
R 12 1665304
S 12 1665360
R 13 1665831
S 13 1665860
R 14 1666337
S 14 1666360
R 15 1666836
S 15 1666860
R 16 1667293
S 16 1667360
R 17 1667822
S 17 1667860
R 18 1668336
S 18 1668410
R 19 1668855
S 19 1668910
R 20 1669372
S 20 1669410
R 21 1669870
S 21 1669910
R 22 1670353
S 22 1670410
R 23 1670853
S 23 1670910
R 24 1671355
S 24 1671410
R 25 1671858
S 25 1671910
R 26 1672398
S 26 1672410
R 27 1672898
S 27 1672910
R 28 1673370
S 28 1673410
S 29 1673910
R 29 1673910
R 30 1674370
S 30 1674411
R 31 1674892
S 31 1674911
R 32 1675377
S 32 1675411
R 33 1675889
S 33 1675911
R 34 1676337
S 34 1676411
