,Trial,Block,Subject,Original_trial,Condition,Perturb_type,Perturb_size,Perturb_bip,Valid_trial,Message,Error
0,0,0,0,0,2,1,0,20,0,;SB;FB;NB;A125;I500;n35;P0;B20;T1;X,SkipStim
1,1,0,0,1,1,1,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T1;X,NoError
2,2,0,0,2,0,1,-50,18,0,;SB;FB;NB;A125;I500;n35;P-50;B18;T1;X,SkipStim
3,3,0,0,3,3,1,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T1;X,SkipStim
4,4,0,0,4,0,1,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T1;X,NoError
5,5,0,0,5,2,1,0,20,1,;SB;FB;NB;A125;I500;n35;P0;B20;T1;X,NoError
6,6,0,0,6,4,1,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,NoError
7,7,0,0,7,2,1,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T1;X,NoError
8,8,0,0,8,1,1,-20,21,1,;SB;FB;NB;A125;I500;n35;P-20;B21;T1;X,NoError
9,9,0,0,9,0,1,-50,20,1,;SB;FB;NB;A125;I500;n35;P-50;B20;T1;X,NoError
10,10,0,0,10,3,1,20,20,1,;SB;FB;NB;A125;I500;n35;P20;B20;T1;X,NoError
11,11,0,0,11,3,1,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T1;X,NoError
12,12,0,0,12,4,1,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T1;X,NoError
13,13,0,0,13,2,1,0,18,1,;SB;FB;NB;A125;I500;n35;P0;B18;T1;X,NoError
14,14,0,0,14,4,1,50,17,1,;SB;FB;NB;A125;I500;n35;P50;B17;T1;X,NoError
15,15,0,0,15,1,1,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T1;X,NoError
16,16,0,0,16,1,1,-20,18,1,;SB;FB;NB;A125;I500;n35;P-20;B18;T1;X,NoError
17,17,0,0,17,4,1,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T1;X,NoError
18,18,0,0,18,1,1,-20,17,1,;SB;FB;NB;A125;I500;n35;P-20;B17;T1;X,NoError
19,19,0,0,19,3,1,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T1;X,SkipStim
20,20,0,0,0,2,1,0,20,0,;SB;FB;NB;A125;I500;n35;P0;B20;T1;X,SkipStim
21,21,0,0,2,0,1,-50,18,1,;SB;FB;NB;A125;I500;n35;P-50;B18;T1;X,NoError
22,22,0,0,3,3,1,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T1;X,SkipStim
23,23,0,0,19,3,1,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T1;X,SkipStim
24,24,0,0,0,2,1,0,20,1,;SB;FB;NB;A125;I500;n35;P0;B20;T1;X,NoError
25,25,0,0,3,3,1,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T1;X,SkipStim
26,26,0,0,19,3,1,20,21,0,;SB;FB;NB;A125;I500;n35;P20;B21;T1;X,SkipStim
27,27,0,0,3,3,1,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T1;X,NoError
28,28,0,0,19,3,1,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T1;X,NoError
29,0,1,0,0,1,1,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T1;X,NoError
30,1,1,0,1,4,1,50,18,1,;SB;FB;NB;A125;I500;n35;P50;B18;T1;X,NoError
31,2,1,0,2,4,1,50,21,1,;SB;FB;NB;A125;I500;n35;P50;B21;T1;X,NoError
32,3,1,0,3,2,1,0,21,0,;SB;FB;NB;A125;I500;n35;P0;B21;T1;X,SkipStim
33,4,1,0,4,3,1,20,19,1,;SB;FB;NB;A125;I500;n35;P20;B19;T1;X,NoError
34,5,1,0,5,2,1,0,19,0,;SB;FB;NB;A125;I500;n35;P0;B19;T1;X,SkipStim
35,6,1,0,6,0,1,-50,20,1,;SB;FB;NB;A125;I500;n35;P-50;B20;T1;X,NoError
36,7,1,0,7,0,1,-50,21,0,;SB;FB;NB;A125;I500;n35;P-50;B21;T1;X,SkipStim
37,8,1,0,8,4,1,50,19,0,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,SkipStim
38,9,1,0,9,1,1,-20,18,1,;SB;FB;NB;A125;I500;n35;P-20;B18;T1;X,NoError
39,10,1,0,10,1,1,-20,17,1,;SB;FB;NB;A125;I500;n35;P-20;B17;T1;X,NoError
40,11,1,0,11,2,1,0,21,0,;SB;FB;NB;A125;I500;n35;P0;B21;T1;X,SkipStim
41,12,1,0,12,0,1,-50,17,1,;SB;FB;NB;A125;I500;n35;P-50;B17;T1;X,NoError
42,13,1,0,13,0,1,-50,21,0,;SB;FB;NB;A125;I500;n35;P-50;B21;T1;X,SkipStim
43,14,1,0,14,1,1,-20,19,1,;SB;FB;NB;A125;I500;n35;P-20;B19;T1;X,NoError
44,15,1,0,15,1,1,-20,20,1,;SB;FB;NB;A125;I500;n35;P-20;B20;T1;X,NoError
45,16,1,0,16,4,1,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,NoError
46,17,1,0,17,3,1,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T1;X,NoError
47,18,1,0,18,0,1,-50,21,1,;SB;FB;NB;A125;I500;n35;P-50;B21;T1;X,NoError
48,19,1,0,19,1,1,-20,20,1,;SB;FB;NB;A125;I500;n35;P-20;B20;T1;X,NoError
49,20,1,0,3,2,1,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T1;X,NoError
50,21,1,0,5,2,1,0,19,1,;SB;FB;NB;A125;I500;n35;P0;B19;T1;X,NoError
51,22,1,0,7,0,1,-50,21,1,;SB;FB;NB;A125;I500;n35;P-50;B21;T1;X,NoError
52,23,1,0,8,4,1,50,19,0,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,SkipStim
53,24,1,0,11,2,1,0,21,0,;SB;FB;NB;A125;I500;n35;P0;B21;T1;X,SkipStim
54,25,1,0,13,0,1,-50,21,1,;SB;FB;NB;A125;I500;n35;P-50;B21;T1;X,NoError
55,26,1,0,8,4,1,50,19,1,;SB;FB;NB;A125;I500;n35;P50;B19;T1;X,NoError
56,27,1,0,11,2,1,0,21,0,;SB;FB;NB;A125;I500;n35;P0;B21;T1;X,NonAssignedResp
57,28,1,0,11,2,1,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T1;X,NoError
58,0,2,0,0,3,1,20,21,1,;SB;FB;NB;A125;I500;n35;P20;B21;T1;X,NoError
59,1,2,0,1,3,1,20,19,1,;SB;FB;NB;A125;I500;n35;P20;B19;T1;X,NoError
60,2,2,0,2,0,1,-50,21,1,;SB;FB;NB;A125;I500;n35;P-50;B21;T1;X,NoError
61,3,2,0,3,0,1,-50,17,1,;SB;FB;NB;A125;I500;n35;P-50;B17;T1;X,NoError
62,4,2,0,4,2,1,0,21,1,;SB;FB;NB;A125;I500;n35;P0;B21;T1;X,NoError
