S 0 503556
R 0 504052
S 1 504056
R 1 504551
S 2 504556
R 2 505015
S 3 505056
R 3 505530
S 4 505556
R 4 505999
S 5 506056
R 5 506506
S 6 506556
R 6 507038
S 7 507056
R 7 507547
S 8 507556
R 8 507999
S 9 508056
R 9 508494
S 10 508556
R 10 509014
S 11 509056
R 11 509526
S 12 509556
R 12 510004
S 13 510056
R 13 510518
S 14 510556
R 14 511009
S 15 511056
R 15 511488
S 16 511556
R 16 512013
S 17 512056
R 17 512510
S 18 512556
R 18 513010
S 19 513056
R 19 513490
S 20 513556
R 20 514006
S 21 514056
R 21 514476
S 22 514556
R 22 514991
S 23 515056
R 23 515493
S 24 515556
R 24 515983
S 25 516056
R 25 516507
S 26 516556
R 26 516955
S 27 517056
R 27 517509
S 28 517556
R 28 518036
S 29 518056
R 29 518521
S 30 518556
R 30 519027
S 31 519056
R 31 519525
S 32 519556
R 32 520047
S 33 520056
R 33 520525
S 34 520556
