S 0 3947662
S 1 3948162
S 2 3948662
S 3 3949162
R 0 3949609
S 4 3949662
R 1 3950048
S 5 3950162
R 2 3950586
S 6 3950662
R 3 3951072
S 7 3951162
R 4 3951599
S 8 3951662
R 5 3952081
S 9 3952162
R 6 3952606
S 10 3952662
R 7 3953119
S 11 3953162
R 8 3953619
S 12 3953662
R 9 3954103
S 13 3954162
R 10 3954594
S 14 3954662
R 11 3955075
S 15 3955162
R 12 3955582
S 16 3955662
R 13 3956050
S 17 3956162
R 14 3956554
S 18 3956662
R 15 3957072
S 19 3957163
R 16 3957579
S 20 3957663
R 17 3958071
S 21 3958163
R 18 3958576
S 22 3958663
R 19 3959099
S 23 3959163
R 20 3959589
S 24 3959663
R 21 3960062
S 25 3960163
R 22 3960608
S 26 3960663
R 23 3961115
S 27 3961163
S 28 3961663
R 24 3961663
R 25 3962151
S 29 3962163
R 26 3962652
S 30 3962663
R 27 3963159
S 31 3963163
R 28 3963625
S 32 3963663
R 29 3964126
S 33 3964163
R 30 3964598
S 34 3964663
