S 0 4178552
S 1 4179052
R 0 4179532
S 2 4179552
R 1 4180005
S 3 4180052
R 2 4180511
S 4 4180552
R 3 4180999
S 5 4181052
R 4 4181508
S 6 4181552
R 5 4181987
S 7 4182052
R 6 4182511
S 8 4182552
R 7 4183024
S 9 4183052
R 8 4183525
S 10 4183552
R 9 4183999
S 11 4184052
R 10 4184495
S 12 4184552
R 11 4185022
S 13 4185052
R 12 4185546
S 14 4185552
R 13 4186012
S 15 4186052
R 14 4186509
S 16 4186552
R 15 4187044
S 17 4187052
R 16 4187533
S 18 4187552
R 17 4187955
S 19 4188052
R 18 4188513
S 20 4188552
R 19 4189034
S 21 4189052
R 20 4189527
S 22 4189552
R 21 4190021
S 23 4190052
R 22 4190496
S 24 4190552
R 23 4191008
S 25 4191052
R 24 4191479
S 26 4191552
R 25 4192007
S 27 4192052
R 26 4192491
S 28 4192552
R 27 4192991
S 29 4193052
R 28 4193528
S 30 4193552
R 29 4194046
S 31 4194052
R 30 4194514
S 32 4194552
R 31 4195042
S 33 4195052
R 32 4195545
S 34 4195552
