S 0 1070383
S 1 1070883
R 0 1071344
S 2 1071383
R 1 1071847
S 3 1071883
R 2 1072345
S 4 1072384
R 3 1072837
S 5 1072884
R 4 1073356
S 6 1073384
R 5 1073875
S 7 1073884
R 6 1074358
S 8 1074384
R 7 1074842
S 9 1074884
R 8 1075347
S 10 1075384
R 9 1075862
S 11 1075884
R 10 1076339
S 12 1076384
R 11 1076825
S 13 1076884
R 12 1077335
S 14 1077384
R 13 1077827
S 15 1077884
R 14 1078347
S 16 1078384
R 15 1078828
S 17 1078884
R 16 1079345
S 18 1079384
R 17 1079828
S 19 1079884
R 18 1080337
S 20 1080384
R 19 1080863
S 21 1080884
S 22 1081384
R 20 1081403
R 21 1081849
S 23 1081884
R 22 1082376
S 24 1082384
R 23 1082865
S 25 1082884
R 24 1083335
S 26 1083384
R 25 1083850
S 27 1083884
R 26 1084345
S 28 1084384
R 27 1084836
S 29 1084884
R 28 1085305
S 30 1085384
R 29 1085822
S 31 1085884
R 30 1086356
S 32 1086384
R 31 1086863
S 33 1086884
R 32 1087361
S 34 1087384
