S 0 1855009
S 1 1855509
S 2 1856009
S 3 1856509
R 0 1856957
S 4 1857009
R 1 1857443
S 5 1857509
R 2 1857936
S 6 1858009
R 3 1858409
S 7 1858509
R 4 1858910
S 8 1859009
R 5 1859388
S 9 1859509
R 6 1859877
S 10 1860009
R 7 1860328
S 11 1860509
R 8 1860810
S 12 1861009
R 9 1861261
S 13 1861509
R 10 1861783
S 14 1862009
R 11 1862309
S 15 1862509
R 12 1862836
S 16 1863009
R 13 1863433
S 17 1863510
R 14 1863960
S 18 1864010
R 15 1864482
S 19 1864510
R 16 1864963
S 20 1864990
R 17 1865411
S 21 1865470
R 18 1865891
S 22 1865950
R 19 1866331
S 23 1866430
R 20 1866806
S 24 1866910
R 21 1867251
S 25 1867390
R 22 1867729
S 26 1867870
R 23 1868251
S 27 1868350
R 24 1868748
S 28 1868830
R 25 1869231
S 29 1869310
R 26 1869630
S 30 1869790
R 27 1870064
S 31 1870270
R 28 1870417
R 29 1870686
S 32 1870750
R 30 1871217
S 33 1871230
R 31 1871660
S 34 1871710
