S 0 1125786
R 0 1126001
S 1 1126286
R 1 1126341
R 2 1126774
S 2 1126786
R 3 1127278
S 3 1127286
S 4 1127786
R 4 1127786
R 5 1128275
S 5 1128286
R 6 1128780
S 6 1128786
R 7 1129255
S 7 1129286
R 8 1129758
S 8 1129786
S 9 1130286
R 9 1130312
S 10 1130786
R 10 1130799
R 11 1131265
S 11 1131286
R 12 1131768
S 12 1131786
R 13 1132267
S 13 1132286
R 14 1132776
S 14 1132786
R 15 1133265
S 15 1133286
R 16 1133755
S 16 1133786
R 17 1134248
S 17 1134286
S 18 1134786
R 18 1134794
S 19 1135266
R 19 1135287
S 20 1135766
R 20 1135802
R 21 1136253
S 21 1136266
S 22 1136766
R 22 1136778
S 23 1137266
R 23 1137274
S 24 1137766
R 24 1137781
R 25 1138245
S 25 1138266
R 26 1138745
S 26 1138766
R 27 1139233
S 27 1139266
R 28 1139750
S 28 1139766
R 29 1140244
S 29 1140267
S 30 1140767
R 30 1140770
S 31 1141267
R 31 1141268
S 32 1141767
R 32 1141780
R 33 1142266
S 33 1142267
S 34 1142767
R 34 1142768
