S 0 823368
R 0 823832
S 1 823868
R 1 824346
S 2 824368
S 3 824868
R 2 824875
R 3 825330
S 4 825368
R 4 825835
S 5 825868
R 5 826341
S 6 826368
R 6 826844
S 7 826868
S 8 827368
R 7 827384
S 9 827868
R 8 827886
R 9 828363
S 10 828368
R 10 828827
S 11 828868
R 11 829347
S 12 829368
R 12 829861
S 13 829868
R 13 830354
S 14 830368
R 14 830866
S 15 830868
S 16 831368
R 15 831371
R 16 831862
S 17 831868
R 17 832358
S 18 832368
S 19 832868
R 18 832872
S 20 833368
R 19 833377
S 21 833868
R 20 833879
S 22 834368
R 21 834369
R 22 834863
S 23 834868
S 24 835368
R 23 835384
S 25 835868
R 24 835897
S 26 836368
R 25 836395
R 26 836826
S 27 836868
R 27 837360
S 28 837368
R 28 837839
S 29 837868
R 29 838336
S 30 838368
R 30 838849
S 31 838868
R 31 839331
S 32 839368
S 33 839868
R 32 839926
S 34 840368
R 33 840381
