S 0 2486378
S 1 2486878
S 2 2487378
S 3 2487878
R 0 2488296
S 4 2488378
R 1 2488784
S 5 2488878
R 2 2489295
S 6 2489378
R 3 2489814
S 7 2489878
R 4 2490300
S 8 2490378
R 5 2490784
S 9 2490878
R 6 2491314
S 10 2491378
R 7 2491811
S 11 2491878
R 8 2492298
S 12 2492378
R 9 2492840
S 13 2492878
R 10 2493320
S 14 2493378
S 15 2493878
R 11 2493882
R 12 2494349
S 16 2494379
R 13 2494857
S 17 2494879
R 14 2495353
S 18 2495379
R 15 2495802
S 19 2495899
R 16 2496310
S 20 2496419
R 17 2496781
S 21 2496939
R 18 2497280
S 22 2497459
R 19 2497727
S 23 2497979
R 20 2498259
S 24 2498499
R 21 2498781
S 25 2499019
R 22 2499316
S 26 2499539
R 23 2499852
S 27 2500059
R 24 2500373
S 28 2500579
R 25 2500913
S 29 2501099
R 26 2501483
S 30 2501619
R 27 2501971
S 31 2502139
R 28 2502524
S 32 2502659
R 29 2503051
S 33 2503179
R 30 2503576
S 34 2503699
