S 0 968122
S 1 968622
R 0 969101
S 2 969122
R 1 969610
S 3 969622
S 4 970122
R 2 970131
R 3 970611
S 5 970622
R 4 971111
S 6 971122
R 5 971597
S 7 971622
R 6 972115
S 8 972122
R 7 972605
S 9 972622
S 10 973122
R 8 973153
S 11 973622
R 9 973623
R 10 974110
S 12 974123
R 11 974605
S 13 974623
R 12 975102
S 14 975123
S 15 975623
R 13 975627
R 14 976094
S 16 976123
R 15 976580
S 17 976623
R 16 977100
S 18 977123
R 17 977593
S 19 977623
S 20 978123
R 18 978126
R 19 978592
S 21 978623
R 20 979092
S 22 979123
R 21 979593
S 23 979623
S 24 980123
R 22 980133
R 23 980610
S 25 980623
S 26 981123
R 24 981125
R 25 981606
S 27 981623
S 28 982123
R 26 982123
R 27 982607
S 29 982623
R 28 983096
S 30 983123
R 29 983605
S 31 983623
R 30 984114
S 32 984123
R 31 984611
S 33 984623
R 32 985097
S 34 985123
