S 0 1718375
S 1 1718875
R 0 1718910
S 2 1719375
R 1 1719379
S 3 1719875
R 2 1719892
R 3 1720339
S 4 1720375
S 5 1720875
R 4 1720901
R 5 1721329
S 6 1721375
R 6 1721793
S 7 1721875
R 7 1722283
S 8 1722375
R 8 1722769
S 9 1722875
R 9 1723300
S 10 1723375
R 10 1723749
S 11 1723875
R 11 1724279
S 12 1724375
R 12 1724779
S 13 1724875
R 13 1725273
S 14 1725375
R 14 1725728
S 15 1725875
R 15 1726231
S 16 1726375
R 16 1726729
S 17 1726875
R 17 1727206
S 18 1727375
R 18 1727735
S 19 1727875
R 19 1728238
S 20 1728375
R 20 1728757
S 21 1728925
R 21 1729258
S 22 1729425
R 22 1729722
S 23 1729925
R 23 1730246
S 24 1730425
R 24 1730683
S 25 1730925
R 25 1731151
S 26 1731425
R 26 1731618
S 27 1731926
R 27 1732082
S 28 1732426
R 28 1732552
S 29 1732926
R 29 1733066
S 30 1733426
R 30 1733541
S 31 1733926
R 31 1734038
S 32 1734426
R 32 1734470
R 33 1734893
S 33 1734926
R 34 1735386
S 34 1735426
