S 0 1273910
S 1 1274411
R 0 1274439
R 1 1274906
S 2 1274911
R 2 1275381
S 3 1275411
R 3 1275872
S 4 1275911
R 4 1276365
S 5 1276411
R 5 1276864
S 6 1276911
R 6 1277363
S 7 1277411
R 7 1277834
S 8 1277911
R 8 1278345
S 9 1278411
R 9 1278861
S 10 1278911
R 10 1279349
S 11 1279411
R 11 1279867
S 12 1279911
R 12 1280365
S 13 1280411
R 13 1280806
S 14 1280911
R 14 1281343
S 15 1281411
R 15 1281873
S 16 1281911
R 16 1282382
S 17 1282411
R 17 1282881
S 18 1282961
R 18 1283415
S 19 1283461
S 20 1283961
R 19 1283982
S 21 1284461
R 20 1284490
R 21 1284958
S 22 1284961
R 22 1285436
S 23 1285462
R 23 1285910
S 24 1285962
R 24 1286433
S 25 1286462
R 25 1286931
S 26 1286962
R 26 1287421
S 27 1287462
R 27 1287945
S 28 1287962
R 28 1288436
S 29 1288462
R 29 1288687
R 30 1288938
S 30 1288962
S 31 1289462
R 31 1289528
R 32 1289958
S 32 1289962
R 33 1290456
S 33 1290462
R 34 1290947
S 34 1290962
