S 0 2088962
R 0 2089405
S 1 2089462
R 1 2089906
S 2 2089962
R 2 2090409
S 3 2090462
R 3 2090908
S 4 2090962
R 4 2091412
S 5 2091462
R 5 2091923
S 6 2091962
R 6 2092449
S 7 2092462
R 7 2092941
S 8 2092962
R 8 2093416
S 9 2093462
R 9 2093940
S 10 2093962
R 10 2094461
S 11 2094462
R 11 2094930
S 12 2094962
R 12 2095431
S 13 2095462
R 13 2095941
S 14 2095962
R 14 2096419
S 15 2096462
R 15 2096939
S 16 2096962
R 16 2097449
S 17 2097462
R 17 2097916
S 18 2097963
S 19 2098413
R 18 2098449
R 19 2098831
S 20 2098863
R 20 2099265
S 21 2099313
R 21 2099730
S 22 2099763
R 22 2100155
S 23 2100213
R 23 2100616
S 24 2100663
R 24 2101043
S 25 2101113
R 25 2101499
S 26 2101563
R 26 2102006
S 27 2102013
S 28 2102463
R 27 2102468
R 28 2102900
S 29 2102913
R 29 2103328
S 30 2103363
R 30 2103783
S 31 2103813
R 31 2104217
S 32 2104263
R 32 2104655
S 33 2104713
R 33 2105134
S 34 2105163
