S 0 714843
R 0 714972
S 1 715343
R 1 715378
R 2 715825
S 2 715843
R 3 716317
S 3 716343
R 4 716807
S 4 716843
R 5 717285
S 5 717343
R 6 717759
S 6 717843
R 7 718247
S 7 718343
R 8 718808
S 8 718843
R 9 719331
S 9 719343
R 10 719815
S 10 719843
R 11 720315
S 11 720343
R 12 720814
S 12 720843
R 13 721309
S 13 721343
R 14 721835
S 14 721843
R 15 722336
S 15 722343
S 16 722843
R 16 722857
R 17 723336
S 17 723343
R 18 723803
S 18 723843
R 19 724330
S 19 724393
R 20 724888
S 20 724943
R 21 725460
S 21 725493
R 22 725988
S 22 726043
R 23 726553
S 23 726593
R 24 727113
S 24 727143
R 25 727673
S 25 727693
R 26 728210
S 26 728243
R 27 728757
S 27 728793
R 28 729304
S 28 729344
R 29 729827
S 29 729894
R 30 730397
S 30 730444
R 31 730944
S 31 730994
R 32 731431
S 32 731544
R 33 732024
S 33 732094
R 34 732608
S 34 732644
