S 0 1952462
S 1 1952962
S 2 1953462
R 0 1953888
S 3 1953963
R 1 1954379
S 4 1954463
R 2 1954853
S 5 1954963
R 3 1955311
S 6 1955463
R 4 1955868
S 7 1955963
R 5 1956353
S 8 1956463
R 6 1956883
S 9 1956963
R 7 1957373
S 10 1957463
R 8 1957916
S 11 1957963
R 9 1958412
S 12 1958463
R 10 1958906
S 13 1958963
R 11 1959408
S 14 1959463
R 12 1959888
S 15 1959963
R 13 1960381
S 16 1960463
R 14 1960881
S 17 1960963
R 15 1961395
S 18 1961513
R 16 1961897
S 19 1962063
R 17 1962357
S 20 1962613
R 18 1962728
R 19 1963155
S 21 1963163
R 20 1963617
S 22 1963713
R 21 1964140
S 23 1964263
R 22 1964673
S 24 1964813
R 23 1965178
S 25 1965363
R 24 1965662
S 26 1965913
S 27 1966464
R 25 1966576
S 28 1967014
R 26 1967021
R 27 1967501
S 29 1967564
R 28 1968014
S 30 1968114
R 29 1968553
S 31 1968664
R 30 1969099
S 32 1969214
R 31 1969650
S 33 1969764
R 32 1970204
S 34 1970314
