S 0 175867
S 1 176367
R 0 176402
S 2 176867
R 1 176904
S 3 177367
R 2 177367
R 3 177853
S 4 177867
R 4 178363
S 5 178367
S 6 178867
R 5 178876
R 6 179352
S 7 179367
S 8 179867
R 7 179884
R 8 180352
S 9 180367
S 10 180867
R 9 180872
S 11 181367
R 10 181388
S 12 181867
R 11 181874
S 13 182367
R 12 182378
R 13 182847
S 14 182867
S 15 183367
R 14 183413
R 15 183858
S 16 183867
R 16 184343
S 17 184367
R 17 184858
S 18 184867
R 18 185364
S 19 185367
S 20 185867
R 19 185867
S 21 186368
R 20 186378
R 21 186845
S 22 186868
S 23 187368
R 22 187388
S 24 187868
R 23 187873
R 24 188357
S 25 188368
R 25 188859
S 26 188868
R 26 189350
S 27 189368
S 28 189868
R 27 189884
S 29 190368
R 28 190377
S 30 190868
R 29 190872
S 31 191368
R 30 191374
R 31 191855
S 32 191868
R 32 192363
S 33 192368
R 33 192860
S 34 192868
