S 0 674760
S 1 675260
S 2 675760
S 3 676260
R 0 676620
S 4 676760
R 1 677194
S 5 677260
R 2 677682
S 6 677760
R 3 678252
S 7 678260
S 8 678760
R 4 678766
R 5 679251
S 9 679260
R 6 679752
S 10 679760
R 7 680233
S 11 680260
R 8 680717
S 12 680760
R 9 681248
S 13 681260
R 10 681702
S 14 681760
R 11 682241
S 15 682260
R 12 682719
S 16 682760
R 13 683258
S 17 683260
R 14 683734
S 18 683760
R 15 684210
S 19 684260
R 16 684649
S 20 684760
R 17 685225
S 21 685260
R 18 685655
S 22 685760
R 19 686203
S 23 686260
R 20 686632
S 24 686760
R 21 687150
S 25 687260
R 22 687656
S 26 687760
R 23 688152
S 27 688260
R 24 688645
S 28 688760
R 25 689140
S 29 689260
R 26 689627
S 30 689760
R 27 690143
S 31 690260
R 28 690618
S 32 690760
R 29 691111
S 33 691260
R 30 691645
S 34 691760
