S 0 29502
S 1 30002
R 0 30002
R 1 30474
S 2 30502
R 2 30979
S 3 31002
R 3 31456
S 4 31502
R 4 31996
S 5 32002
R 5 32447
S 6 32502
R 6 32966
S 7 33002
R 7 33466
S 8 33502
S 9 34002
R 8 34057
R 9 34415
S 10 34502
R 10 34954
S 11 35002
R 11 35464
S 12 35502
S 13 36002
R 12 36446
S 14 36502
R 13 36924
S 15 37002
R 14 37436
S 16 37502
R 15 37965
S 17 38002
R 16 38487
S 18 38502
R 17 38969
S 19 39002
R 18 39447
S 20 39502
R 19 39970
S 21 40002
R 20 40434
S 22 40502
R 21 40907
S 23 41003
R 22 41460
S 24 41503
R 23 41948
S 25 42003
R 24 42475
S 26 42503
R 25 42989
S 27 43003
R 26 43467
S 28 43503
R 27 43959
S 29 44003
R 28 44465
S 30 44503
R 29 44973
S 31 45003
R 30 45454
S 32 45503
S 33 46003
R 31 46004
R 32 46456
S 34 46503
