S 0 266479
S 1 266979
R 0 267455
S 2 267479
R 1 267954
S 3 267979
R 2 268471
S 4 268479
R 3 268957
S 5 268979
R 4 269463
S 6 269479
R 5 269952
S 7 269979
R 6 270473
S 8 270479
S 9 270979
R 7 270982
R 8 271470
S 10 271479
R 9 271970
S 11 271979
S 12 272479
R 10 272487
R 11 272974
S 13 272979
R 12 273464
S 14 273479
R 13 273964
S 15 273979
R 14 274466
S 16 274479
R 15 274972
S 17 274979
R 16 275448
S 18 275479
R 17 275942
S 19 275979
S 20 276459
R 18 276463
R 19 276944
S 21 276959
R 20 277419
S 22 277459
R 21 277906
S 23 277959
R 22 278445
S 24 278459
R 23 278936
S 25 278959
R 24 279444
S 26 279459
R 25 279937
S 27 279959
R 26 280432
S 28 280459
R 27 280928
S 29 280960
R 28 281413
S 30 281460
R 29 281887
S 31 281960
R 30 282392
S 32 282460
R 31 282877
S 33 282960
R 32 283405
S 34 283460
